support_id	category_id	category	user_id	created_on	created_year	created_month	created_day	created_dayname	content_string	content_keyword_string	content_word_count	content_character_count	language	sentiment	problem_rating_identifitication	problem_rating_resolution	note	note_aggregation_level1	note_aggregation_level2	response_first	response_first_agent	response_first_date	response_first_template_id	response_first_days_elapsed	response_templates_used	response_agent_count	status_id	status	status_group	status_escalation_count	message_count	message_count_in	message_count_out	template_count	reward_code	reward_code_type	reward_code_status	email_domain	category_change_count	user_redemption_count	user_redemption_limit	user_redemption_remaining_credits	user_ticket_count	user_account_status	user_account_created_year	user_account_created_date	user_unique_ip_count	user_country_code	user_country_name	user_language	active	zsync_refresh_status	zsync_refresh_data_qc	zsync_refreshed_at
876433	9	Account Activation	2601687	2/24/2023	2023	2	24	Friday	cannot activate account	null	3	23	en	Optimistic	1	1	null	null	null	Your account has been successfully activated. You can now login to www.amdrewards.com to redeem your coupon code.**** IMPORTANT ****Make sure your AMD Product is installed in your computer.Our promotions require you to have an eligible AMD GPU or CPU installed before you attempt to validate your coupon code.Please see our terms and conditions on amdrewards.com/terms for more information.	Matt Wrong	2/23/2023	168	0	1	1	3	Closed	Active	0	1	0	1	1	null	null	null	gmail.com	0	1	5	4	1	Is Active	2023	2/19/2023	1	CA	Canada	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:29
876434	27	Coupon Limit	1588635	2/24/2023	2023	2	24	Friday	It says the Coupon code limit has been reached. haven't used this code yet. I just purchased it a few weeks ago.	Account-Limit	22	112	en	Optimistic	1	2	null	null	null	We have increased your redemption limit. Please try again.	Matt Wrong	2/23/2023	246	0	1	1	3	Closed	Active	0	1	0	1	1	PYGTNYCXV4YDSSD8XZUU	Token	Assigned	comcast.net	0	2	5	3	1	Is Active	2020	5/3/2020	2	US	United States	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:29
876821	25	PVT Installation Issue	1373873	2/28/2023	2023	2	28	Tuesday	"Every time I try to download and run the PVT application, It says top redownload and run again. I tried though Microsoft Edge and with Google Chrome. Hardware acceleration on in both browsers. "	PVT-General	33	193	en	Frustration	2	2	null	null	null	"Please see below for a few potential solutions to help you get the Product Verification Tool to work.You might be seeing one of these messages:- Connection / DNS"" Error- App ID Not GenuinePossible Solutions:1. Please make sure that your PC Clock date and time is correct.2. DO NOT RUN THE INSTALLATION THROUGH YOUR BROWSER. Save it first and then run the installation.3. DO NOT rename the installation file.4. Download the application from a different browser.5. Please check if your Anti Virus software might be blocking our application.6. Make sure ""Hardware Acceleration"" is turned on. This can usually be found in your browsers Advanced settings.7. Also please keep your browser open and logged in to your AMD Rewards account when running the PVT.8. Make sure you do not have any overclocking software running.If you continue to experience errors, reply back to this email and send us some images of the errors you are seeing."	Matt Wrong	2/27/2023	250	0	1	1	3	Closed	Active	0	1	0	1	1	7P53Z288QNRX47WJ87YW	Token	Assigned	gmail.com	0	2	5	3	0	Is Active	2020	1/31/2020	2	US	United States	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:29
876822	0	No Category	2610128	2/28/2023	2023	2	28	Tuesday	"The game coupon code has been used and crashed. I have never used it before. What is this? I sent an inquiry yesterday and asked for the code to be activated.So it's normal to enter the code and usually amd authentication pops up, but why does it pop up after being used?"	null	53	273	en	Frustration	4	5	null	null	null	Our system shows that the coupon is still available. If you are still having issues please reply to this email.	Matt Wrong	2/27/2023	0	0	0	1	3	Closed	Active	0	1	0	1	0	2B3GCPTPTW5VYMD225FQ	Token	Available	naver.com	0	0	5	5	6	Is Active	2023	2/25/2023	2	KR	"Korea, Republic of"	ko	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:29
876823	16	Coupon Expired	2598425	2/28/2023	2023	2	28	Tuesday	I purchased a Ryzen 7700X product but I cant get a coupon code	null	13	62	en	Frustration	2	1	null	null	null	"Unfortunately, the promotion for the game(s) you are trying to redeem has expired and the coupon code is now void.All rewards are subject to an expiration date and customers need to redeem their codes and use all available credits before then.Please be sure to check amdrewards.com to see the terms and conditions for each promotion.We apologize for the inconvenience and thank you for your understanding."	Brian Subramaniam	2/27/2023	127	0	1	1	3	Closed	Active	0	1	0	1	1	UTB6C9ETXFSJVJVWK3BD	Token	Deactivated	hotmail.com	1	1	5	4	2	Is Active	2023	2/17/2023	2	KR	"Korea, Republic of"	ko	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:29
877130	27	Coupon Limit	666436	3/2/2023	2023	3	2	Thursday	"Hello, it says voucher limit reached can you please help me.Thanks"	Account-Limit	12	68	de	Frustrated	1	1	null	null	null	We have increased your redemption limit. Please try again.	Jamie Morikawa	3/2/2023	246	0	1	1	3	Closed	Active	0	1	0	1	1	UDPJWU2YQMJJGYWYPFHY	Token	Assigned	gmail.com	0	3	5	2	1	Is Active	2019	5/7/2019	13	DE	Germany	it	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:51
877131	50	Provider Help - CoH	2579273	3/2/2023	2023	3	2	Thursday	you sent invalid keys that's fraud i'll publicly ask the prague for that you won't get through.	null	17	97	en	Outrage	3	1	null	null	null	"Below you will find instructions on connecting your Company of Heroes account with your Steam.If you have problems with your Company of Heroes code. Please reach out to SEGA Support - at https://support.sega.com/IMPORTANT---------------------------------------- Activate from the Company of Heroes community website- Connect your Relic Link Account to your Steam Account- Check your email for messages from Company of Heroes with the Steam Activation Key---------------------------------------INSTRUCTIONS======================1. Go to https://community.companyofheroes.com/2. Login in or set up your free Relic Link account.3. Visit the 'Rewards' section and 'link' your Relic Link account to your Steam account.4. Enter in your provided Sega universal code, which will automatically grant a digital copy of the game into your steam library.5. After logging into Steam, a copy of the game should be available for download.Please reach out to SEGA Support - at https://support.sega.com/ - If you have problems with your Company of Heroes code"	Jamie Morikawa	3/2/2023	526	0	1	1	3	Closed	Active	0	1	0	1	1	null	null	null	gmail.com	0	2	5	3	23	Is Active	2023	2/3/2023	1	DE	Germany	de	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:48
878112	27	Coupon Limit	763357	3/9/2023	2023	3	9	Thursday	Why is it denying my code by saying my code limit has been reached? I have not bought anything Amd for years. Should I return my new graphics card?	Account-Limit	29	147	en	ZNA	1	1	PVT Log on Token - error.coupon.couponLimitReachedToken Key Log on User - 3VQML8BXKURD54QRGQ8H	Token + PVT	couponLimitReached	We have increased your redemption limit. Please try again.	Sohail Shah	3/9/2023	246	0	1	1	3	Closed	Active	0	1	0	1	1	3VQML8BXKURD54QRGQ8H	Token	Assigned	gmail.com	0	3	10	7	1	Is Active	2019	6/15/2019	3	CA	Canada	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	4/14/2023 16:23
878113	27	Coupon Limit	949893	3/9/2023	2023	3	9	Thursday	"telling me the limit has been reached, contact customer support to have the limit raised?"	Account-Limit	15	89	en	ZNA	1	1	PVT Log on Token - error.coupon.couponLimitReachedToken Key Log on User - VSPVZFW3GTK9D7TRNDDK	Token + PVT	couponLimitReached	We have increased your redemption limit. Please try again.	Sohail Shah	3/9/2023	246	0	1	1	3	Closed	Active	0	2	1	1	1	VSPVZFW3GTK9D7TRNDDK	Token	Assigned	hotmail.co.uk	0	3	10	7	2	Is Active	2019	10/8/2019	2	GB	United Kingdom	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	4/14/2023 16:23
878114	6	Vendor did not supply a coupon	1005817	3/9/2023	2023	3	9	Thursday	"Good morning!I have a rather strange message today for you.As I do enjoy AMD products, I usually buy those. And since I wanted to be an early adaptor this time, actually went on to buy the new products as soon as possible. But this lead to me feeling like I am being left out not, or outright punished.You see, I bought the Ryzen 7900x on september 27th last year. I spend quite some money on it, to get it. And not even two weeks later, AMD reveals that they give games away for free to buyers of Ryzen CPUs - but with the twist that I should have bought my CPU two weeks later than I actually did.When I finally had the money for a new GPU, I wanted to get myself AMD again. At that time, AMD had rewards for buyers of the 6000series, but I wanted the best, so I went all in and bought myself a 7900xtx, that was around 3 weeks ago. And now again AMD has revealed to reward buyers of exactly those GPUs. And again I feel like I am getting punished for buying as early as I could instead of just waiting.So what I am asking here is: Could AMD in future rewards maybe put in some kind of way for people who bought hardware right before the start of a reward program to also benefit at least a bit from it. This doesn't mean that someone who bought the GPU 3 months before the reward program starts should get something, but people like me, who bought the hardware basically right before the program started.Best regards,Christoph Petrausch"	null	280	1453	en	ZNA	4	1	"Redemption Success - 1005817 - ademosrakh@gmail.com - 2019-10-29Gamekey Activation Detected - on Coupon CheckUID Log - error.hardware.pvtDownloadRequired, successMultiple User Attempts Detected [2]"	Coupon + Redemption Success + Gamekey Activated + Coupon Multiple Users	pvtDownloadRequired	"If you did not receive a coupon code or did not receive all of your rewards, please contact your retailer to receive them.Unfortunately, we do not distribute codes on our end as participating retailers are responsible for giving them out when an eligible product is purchased for the promotion. We advise customers to check with their retailers before the purchase to ensure that they are participating in our promo.Codes are valid while supplies last. If you do not see the promotion on your retailer's website, the promotion may either have been exhausted or the retailer may not be participating. Please note that sometimes the retailer does not provide a redeemable code until after the initial return period.Please try to keep a log of all your communication with your retailer, as we may need this information in case we have to escalate your case internally.We apologize for the inconvenience and thank you for your understanding.https://www.amdrewards.com/faqhttps://www.amdrewards.com/terms"	Sohail Shah	3/9/2023	1	0	1	1	3	Closed	Active	0	1	0	1	1	7P9TJPMNPZ4V2AN8	Coupon	Assigned	gmail.com	0	2	5	3	1	Is Active	2019	10/29/2019	1	DE	Germany	de	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	4/14/2023 16:23
878115	6	Vendor did not supply a coupon	209345	3/9/2023	2023	3	9	Thursday	"Hello!I don't know if I just have bad timing or not, but it is already the second time that I have bought an AMD product and then, a few weeks later, that product receives a game bundle. First, I bought a ryzen 5 7600x at the end of December, in January it is at the same price that I paid and gets a bundle with Jedi: Survivor. Now, I bought a rx 7900 xtx last month, and this week it receives a bundle with The Last of Us.It seems quite unfair paying the same prices and just because I trusted AMD and bought their products closer to their launch, I don't have access to their bundles just by a few weeks.I already asked the store where I bought the GPU (Globaldata - Portugal) and they said they can't do anything because they receive the codes from AMD.Thanks for your attention,Gonçalo"	null	154	800	en	ZNA	3	1	Valid CODE Not Detected	Code Not Detected	null	"If you did not receive a coupon code or did not receive all of your rewards, please contact your retailer to receive them.Unfortunately, we do not distribute codes on our end as participating retailers are responsible for giving them out when an eligible product is purchased for the promotion. We advise customers to check with their retailers before the purchase to ensure that they are participating in our promo.Codes are valid while supplies last. If you do not see the promotion on your retailer's website, the promotion may either have been exhausted or the retailer may not be participating. Please note that sometimes the retailer does not provide a redeemable code until after the initial return period.Please try to keep a log of all your communication with your retailer, as we may need this information in case we have to escalate your case internally.We apologize for the inconvenience and thank you for your understanding.https://www.amdrewards.com/faqhttps://www.amdrewards.com/terms"	Sohail Shah	3/9/2023	1	0	1	1	3	Closed	Active	0	1	0	1	1	null	null	null	outlook.com	0	2	1	0	0	Is Active	2018	11/27/2018	3	PT	Portugal	pt	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	4/14/2023 16:23
878116	30	Promotion Question - Game	1808504	3/9/2023	2023	3	9	Thursday	I am trying to find my product key for God Fall that I received via the promo when I bought my GPU and it is not showing in my library. Please help	null	32	147	en	ZNA	2	2	Token Key Log on User - 7KYSVJVES8QFANTFZSM5Token Redemption Success [Rewards - 4718420]	Token + Redemption Success	null	Your rewards are now available in your account. Simply navigate to the My Rewards page after you log into your account to access your games.If you have already successfully activated your game please disregard this message.	Sohail Shah	3/9/2023	283	0	1	1	3	Closed	Active	0	1	0	1	1	7KYSVJVES8QFANTFZSM5	Token	Assigned	gmail.com	0	1	7	6	1	Is Active	2020	8/25/2020	1	US	United States	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	4/14/2023 16:23
878117	30	Promotion Question - Game	2613401	3/9/2023	2023	3	9	Thursday	Tried to download but when I tried it says it is all ready used...Have not downloaded it yet...	null	19	97	en	ZNA	2	2	PVT Log on Token - successToken Key Log on User - N3HQRF4P7WUX4QELBSE7Token Redemption Success [Rewards - 5496312]	Token + PVT + Redemption Success	null	Your rewards are now available in your account. Simply navigate to the My Rewards page after you log into your account to access your games.If you have already successfully activated your game please disregard this message.	Sohail Shah	3/9/2023	283	0	2	2	3	Closed	Active	0	3	1	2	2	N3HQRF4P7WUX4QELBSE7	Token	Assigned	at-hand.se	0	1	5	4	1	Is Active	2023	2/27/2023	1	SE	Sweden	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	4/14/2023 16:23
878118	50	Provider Help - CoH	2619577	3/9/2023	2023	3	9	Thursday	"Good afternoon. In early January, I purchased a Ryzen 7 5700x processor through the Gigantec store. After receiving the processor, I got in touch with the store and they gave me the serial to redeem the game company of heroes 3. I followed the step by step link https://www.amdrewards.com/my-rewards. ""SEGA Key Redemption Instructions1. Go to https://community.companyofheroes.com/2. Log in or set up your free Relic Link account.3. Visit the 'Rewards' section and 'link' your Relic Link account to your Steam account.4. Enter the Sega Universal Code provided, which will automatically grant you a digital copy of the game in your Steam library.5. After signing in to Steam, a copy of the game should be available for download.""I did the step by step up to item 4. I linked my relic account to my steam account. I confirmed my steam photo within the relic account and after completing the process, the game in question does not appear in my steam library. When re-entering the code obtained from the amdrewards website at https://community.companyofheroes.com/profile/me/rewards/code-activation it is informed that the serial is invalid or has already been redeemed (it was expected because I redeemed it myself it but the game doesn't appear in my steam library.) How should I proceed to get the game offered in the promotion?"	Game Provider-Steam	230	1339	pt	ZNA	3	2	Valid CODE Not DetectedToken Key Log on User - VGD926FSPGTBQEQFQE26	Code Not Detected + Token	null	Please contact SEGA support and reference the provided key for assistance with this issue.	Sohail Shah	3/9/2023	0	0	0	1	3	Closed	Active	0	1	0	1	0	null	null	null	lsinfoti.com.br	1	1	5	4	1	Is Active	2023	3/3/2023	2	BR	Brazil	pt	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	4/14/2023 16:23
878119	12	Hardware Not Detected	509761	3/9/2023	2023	3	9	Thursday	Unable to redeem.......its Because of the Anti Virus?....Im install the correct CPU already ??	null	15	94	en	ZNA	2	2	"PVT Log on Token - Data.ErrorMessages.Hardware.hardwareNotDetected, error.coupon.couponWaitingActivationToken Key Log on User - 9FEYNV7L6EL86D6YRSSL"	Token + PVT	hardwareNotDetected + couponWaitingActivation	These promotions require you to have the appropriate qualifying AMD CPU or GPU installed before you attempt to validate your coupon code.You must run the PVT on the system containing the qualifying AMD product.Please see our Terms and Conditions on amdrewards.com for more information on our promotions and their eligibility requirements.www.amdrewards.com/termswww.amdrewards.com/faq	Sohail Shah	3/9/2023	199	0	1	1	3	Closed	Active	0	1	0	1	1	9FEYNV7L6EL86D6YRSSL	Token	Available	hotmail.com	0	1	5	4	3	Is Active	2019	3/12/2019	7	MY	Malaysia	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	4/14/2023 16:23
878120	27	Coupon Limit	229867	3/9/2023	2023	3	9	Thursday	"Hello,I get an error message saying the coupon limit has been reached and I should ask support for an increase."	Account-Limit	21	113	de	ZNA	1	1	PVT Log on Token - error.coupon.couponLimitReachedToken Key Log on User - KGVF7432RSWF2DKLUXDS	Token + PVT	couponLimitReached	We have increased your redemption limit. Please try again.	Matthew Willis	3/9/2023	246	0	1	1	3	Closed	Active	0	1	0	1	1	KGVF7432RSWF2DKLUXDS	Token	Assigned	posteo.de	0	2	5	3	1	Is Active	2018	12/8/2018	5	DE	Germany	de	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	4/14/2023 16:23
878121	50	Provider Help - CoH	2621522	3/9/2023	2023	3	9	Thursday	"I added the code from amd rewards to community.companyofheroes according to the instructions, the code was accepted, after which the game was not added to steam, now a message appears that the code is invalid or used, partly correct, but why the game has not been added to steam account?"	Game Provider-Steam	50	287	pl	ZNA	2	3	PVT Log on Token - successToken Key Log on User - VWMFK72EQE3JE98GCJ9TToken Redemption Success [Rewards - 5491224]	Token + PVT + Redemption Success	null	The code which we've provided (COH3E-9P6J4-RM8BQ-FY44P) must be activated on the Company of Heroes website (https://community.companyofheroes.com/) by logging into your account and navigating to the Code Activation page.After successfully activating this code on their site you should receive an email containing a Steam key which you can input directly to your Steam account to complete your game activation.	Matthew Willis	3/9/2023	0	0	0	2	3	Closed	Active	0	3	1	2	0	VWMFK72EQE3JE98GCJ9T	Token	Assigned	interia.pl	1	2	5	3	1	Is Active	2023	3/5/2023	4	PL	Poland	pl	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	4/14/2023 16:23
878122	24	Promotion Question	2628090	3/9/2023	2023	3	9	Thursday	"I purchased 6750xt on the 21st of February, 2023, do I qualify for the last of us part 1 reward?"	null	20	96	en	ZNA	1	1	Valid CODE Not DetectedToken Key Log on User - 977TWTWHX8EHU6PRLN6P	Code Not Detected + Token	null	"Thank you for contacting AMD Rewards Support,Unfortunately purchases must be made within the promotional period to qualify for our current promotion.For more information on our promotions and their eligibility requirements, please refer to our Terms & Conditions down below.https://www.amdrewards.com/termsWe apologize for the inconvenience."	Matthew Willis	3/9/2023	183	0	1	1	3	Closed	Active	0	1	0	1	1	null	null	null	gmail.com	0	0	5	5	1	Is Active	2023	3/9/2023	1	US	United States	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	4/14/2023 16:23
878123	24	Promotion Question	1350042	3/9/2023	2023	3	9	Thursday	"I recently purchased an RX 6700 video card, and two weeks after the purchase I come across a promotion for the game The Last of Us. I contacted the reseller to find out if my purchase would still be eligible for the promotion, but received a negative response.In 2019, something similar had already happened when I acquired another board, and the codes had already run out. In addition to dealing with driver issues, I still have to put up with this company's lack of consideration for me as a customer. I was a customer and staunch defender of the brand for years, since my first computer at the time of the FX, but now, in my next opportunity, I make a point of switching to an NVIDIA as soon as possible."	Wrong Portal-Driver Support	132	709	pt	ZNA	1	2	"Redemption Success - 1350042 - douglas.lucena023@gmail.com - 2020-01-24Gamekey Activation Detected - on Coupon CheckUID Log - error.coupon.couponAlreadyUsed, error.hardware.pvtDownloadRequired, success"	Coupon + Redemption Success + Gamekey Activated	couponAlreadyUsed + pvtDownloadRequired	"Thank you for contacting AMD Rewards Support,Unfortunately purchases must be made within the promotional period to qualify for our current promotion.For more information on our promotions and their eligibility requirements, please refer to our Terms & Conditions down below.https://www.amdrewards.com/termsWe apologize for the inconvenience."	Matthew Willis	3/9/2023	183	0	1	1	3	Closed	Active	0	1	0	1	1	GDJDKECCXKKV6QB3	Coupon	Assigned	gmail.com	0	1	5	4	1	Is Active	2020	1/24/2020	2	BR	Brazil	pt	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	4/14/2023 16:23
